"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2018,557,2213,1188
2,2018,336,2981,2672
3,2018,106,2689,2122
4,2018,620,3003,2705
5,2018,537,3248,2026
6,2018,106,1684,1174
7,2018,336,2818,2405
8,2018,106,4645,3759
9,2018,327,2897,1297
10,2018,336,3594,3518
11,2018,327,4546,3716
12,2018,320,3288,1958
13,2018,106,3302,1542
14,2018,526,1915,1783
15,2018,313,2014,822
16,2018,537,2355,1416
17,2018,106,4654,4225
18,2018,326,2575,1719
19,2018,106,2005,1364
20,2018,106,1691,967
21,2018,100,427,414
22,2018,337,6530,4977
23,2018,320,6436,2659
24,2018,327,4154,3105
25,2018,326,1179,912
26,2018,326,12449,10099
27,2018,320,2473,1184
28,2018,336,4217,3506
29,2018,204,2772,2762
30,2018,323,3079,1859
31,2018,106,1617,1468
32,2018,106,1984,1832
33,2018,320,3764,3368
34,2018,336,1572,772
35,2018,320,1652,1347
36,2018,546,4030,3281
37,2018,326,961,478
38,2018,527,2465,1489
39,2018,106,926,391
40,2018,206,1648,968
41,2018,106,1308,718
42,2018,326,1157,700
43,2018,547,1286,510
44,2018,206,1622,641
45,2018,327,6251,5889
46,2018,327,3337,1628
47,2018,336,3735,2257
48,2018,106,3206,2008
49,2018,106,2793,1556
50,2018,106,745,467
51,2018,547,3038,2722
52,2018,337,3340,1520
53,2018,106,4859,2258
54,2018,525,4610,2726
55,2018,106,6558,6032
56,2018,336,2129,1628
57,2018,106,814,719
58,2018,527,1858,766
59,2018,206,3611,1881
60,2018,412,2270,958
61,2018,522,5315,2680
62,2018,547,3657,1842
63,2018,547,3721,2959
64,2018,600,5786,5710
65,2018,336,2016,1278
66,2018,206,2412,1888
67,2018,536,5360,2775
68,2018,525,5467,3794
69,2018,206,858,720
70,2018,327,2431,1080
71,2018,106,1641,1337
72,2018,327,1771,1319
73,2018,327,2109,1412
74,2018,206,2869,1374
75,2018,323,4850,3299
76,2018,106,2106,959
77,2018,317,4137,3615
78,2018,206,2630,2270
79,2018,106,960,423
80,2018,106,848,780
81,2018,327,3739,1710
82,2018,546,2885,1334
83,2018,320,3876,2478
84,2018,206,2296,943
85,2018,106,1867,1194
86,2018,106,2410,1492
87,2018,106,3551,2602
88,2018,535,2889,1733
89,2018,336,2301,1652
90,2018,206,2526,1402
91,2018,336,1118,738
92,2018,106,2745,1357
93,2018,106,1669,734
94,2018,317,1505,1040
95,2018,320,1119,461
96,2018,106,1516,722
97,2018,317,6974,4654
98,2018,320,3835,2549
99,2018,206,1808,1144
100,2018,413,1621,1263
101,2018,206,3471,3026
102,2018,640,1431,908
103,2018,106,2226,1580
104,2018,520,1738,1050
105,2018,640,2674,1136
106,2018,206,2314,1384
107,2018,337,2035,1277
108,2018,106,1741,1350
109,2018,206,3207,2525
110,2018,336,3342,2031
111,2018,336,3022,3012
112,2018,106,4063,3649
113,2018,317,1210,542
114,2018,327,1347,1063
115,2018,106,3196,3107
116,2018,326,7596,4268
117,2018,337,3062,2624
118,2018,106,1086,800
119,2018,327,4790,3297
120,2018,520,1218,1052
121,2018,106,8569,5808
122,2018,326,2347,1583
123,2018,412,3112,2980
124,2018,106,2521,1524
125,2018,536,2875,2533
126,2018,640,826,750
127,2018,525,3392,3045
128,2018,537,1838,838
129,2018,206,1170,959
130,2018,206,4133,3115
131,2018,106,3473,3279
132,2018,106,1151,520
133,2018,106,2522,2019
134,2018,206,2318,1065
135,2018,327,4015,2722
136,2018,327,3835,2401
137,2018,327,1762,1627
138,2018,415,2009,1904
139,2018,204,1783,1113
140,2018,327,2101,1112
141,2018,206,1710,1187
142,2018,206,4676,3097
143,2018,206,1362,1099
144,2018,410,2439,1317
145,2018,204,2969,2156
146,2018,317,2100,979
147,2018,327,3309,3245
148,2018,106,1514,1234
149,2018,204,1025,494
150,2018,106,2407,1868
151,2018,320,1345,716
152,2018,547,2707,2560
153,2018,317,2504,2354
154,2018,100,1702,717
155,2018,106,2174,1563
156,2018,204,2274,1529
157,2018,337,4071,3873
158,2018,327,3861,3325
159,2018,206,3206,1745
160,2018,326,2142,2008
161,2018,106,1647,698
162,2018,106,3881,3755
163,2018,204,1622,1161
164,2018,206,5710,4355
165,2018,106,2788,1115
166,2018,206,1183,828
167,2018,320,8341,7806
168,2018,320,1370,1101
169,2018,106,2408,1319
170,2018,106,1311,1258
171,2018,327,1389,809
172,2018,106,2392,2191
173,2018,200,875,737
174,2018,206,1527,800
175,2018,327,2191,2064
176,2018,106,382,326
177,2018,204,1084,953
178,2018,537,4127,3656
179,2018,337,9760,4620
180,2018,106,2309,1888
181,2018,330,4202,2861
182,2018,327,2632,1375
183,2018,320,2657,1428
184,2018,537,4260,2490
185,2018,106,2406,1247
186,2018,106,1838,1520
187,2018,100,2776,2418
188,2018,206,3193,2774
189,2018,106,3669,3486
190,2018,530,1905,965
191,2018,536,1458,636
192,2018,536,5367,4379
193,2018,327,1498,1243
194,2018,106,1261,963
195,2018,327,1618,823
196,2018,106,2001,1791
197,2018,206,11082,7268
198,2018,413,1466,813
199,2018,336,7214,4443
200,2018,106,5576,2264
201,2018,106,3276,3119
202,2018,327,2480,1671
203,2018,317,1375,1337
204,2018,317,1140,632
205,2018,106,1965,1425
206,2018,537,1194,886
207,2018,320,1050,1042
208,2018,106,1548,725
209,2018,310,2130,1671
210,2018,620,2322,2135
211,2018,106,4016,3039
212,2018,326,5342,2300
213,2018,336,5534,2771
214,2018,106,1857,1747
215,2018,200,1045,633
216,2018,320,1340,1011
217,2018,106,1874,1510
218,2018,327,2981,2598
219,2018,106,3193,1686
220,2018,106,1905,1267
221,2018,327,979,590
222,2018,557,693,644
223,2018,106,5476,2728
224,2018,204,2123,1857
225,2018,106,2317,1197
226,2018,620,1809,1008
227,2018,106,1679,1336
228,2018,106,1977,1476
229,2018,206,2506,1228
230,2018,532,3676,3261
231,2018,106,1123,982
232,2018,320,2959,1962
233,2018,204,1485,954
234,2018,326,3174,1584
235,2018,525,6898,5352
236,2018,106,1555,1235
237,2018,415,729,513
238,2018,536,1842,1576
239,2018,337,1084,1057
240,2018,206,4584,3442
241,2018,327,880,738
242,2018,106,659,471
243,2018,320,1388,1306
244,2018,313,2567,1423
245,2018,106,661,473
246,2018,327,1328,824
247,2018,106,2223,1810
