"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2019,557,2196,1179
2,2019,336,3039,2724
3,2019,106,2662,2101
4,2019,620,3053,2750
5,2019,537,3281,2047
6,2019,106,1720,1200
7,2019,336,2812,2400
8,2019,106,4600,3723
9,2019,327,2948,1320
10,2019,336,3577,3501
11,2019,327,4614,3772
12,2019,320,3300,1966
13,2019,106,3273,1528
14,2019,526,1899,1768
15,2019,313,2048,836
16,2019,537,2398,1442
17,2019,106,4782,4341
18,2019,326,2612,1744
19,2019,106,2046,1392
20,2019,106,1681,961
21,2019,100,424,411
22,2019,337,6538,4983
23,2019,320,6506,2688
24,2019,327,4157,3108
25,2019,326,1203,930
26,2019,326,12360,10027
27,2019,320,2507,1200
28,2019,336,4336,3605
29,2019,204,2761,2751
30,2019,323,3111,1879
31,2019,106,1621,1472
32,2019,106,2012,1858
33,2019,320,3733,3340
34,2019,336,1604,788
35,2019,320,1674,1365
36,2019,546,4135,3367
37,2019,326,954,475
38,2019,527,2532,1529
39,2019,106,935,394
40,2019,206,1695,995
41,2019,106,1326,728
42,2019,326,1176,711
43,2019,547,1308,518
44,2019,206,1607,635
45,2019,327,6211,5851
46,2019,327,3423,1670
47,2019,336,3747,2264
48,2019,106,3195,2001
49,2019,106,2768,1542
50,2019,106,754,473
51,2019,547,3101,2779
52,2019,337,3351,1525
53,2019,106,4874,2265
54,2019,525,4665,2759
55,2019,106,6528,6004
56,2019,336,2114,1617
57,2019,106,825,730
58,2019,527,1853,763
59,2019,206,3703,1929
60,2019,412,2254,952
61,2019,522,5274,2659
62,2019,547,3686,1857
63,2019,547,3775,3002
64,2019,600,5955,5877
65,2019,336,2012,1275
66,2019,206,2434,1905
67,2019,536,5513,2854
68,2019,525,5519,3830
69,2019,206,876,736
70,2019,327,2416,1073
71,2019,106,1669,1360
72,2019,327,1767,1316
73,2019,327,2147,1438
74,2019,206,2916,1397
75,2019,323,4954,3369
76,2019,106,2115,964
77,2019,317,4116,3596
78,2019,206,2696,2327
