"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2016,557,2139,1148
2,2016,336,2953,2647
3,2016,106,2609,2059
4,2016,536,2928,2638
5,2016,537,3190,1990
6,2016,106,1668,1163
7,2016,336,2715,2317
8,2016,106,4416,3574
9,2016,327,2899,1298
10,2016,336,3487,3413
11,2016,327,4545,3715
12,2016,320,3229,1923
13,2016,106,3244,1515
14,2016,526,1877,1747
15,2016,106,2013,821
16,2016,537,2310,1389
17,2016,106,4583,4160
18,2016,326,2586,1726
19,2016,106,1974,1343
20,2016,106,1667,953
21,2016,100,415,402
22,2016,337,6360,4847
23,2016,320,6480,2677
24,2016,327,4070,3043
25,2016,326,1181,913
26,2016,326,12364,10030
27,2016,320,2445,1170
28,2016,336,4204,3495
29,2016,204,2697,2687
30,2016,323,3052,1843
31,2016,106,1573,1428
32,2016,106,1939,1791
33,2016,320,3649,3265
34,2016,336,1545,759
35,2016,320,1643,1340
36,2016,525,3922,3193
37,2016,326,935,465
38,2016,527,2437,1472
39,2016,106,924,390
40,2016,206,1645,966
41,2016,106,1283,704
42,2016,326,1128,682
43,2016,547,1292,512
44,2016,206,1604,634
45,2016,327,6096,5743
46,2016,327,3297,1609
47,2016,336,3734,2257
48,2016,106,3249,2035
49,2016,106,2724,1518
50,2016,106,726,455
51,2016,547,2925,2621
52,2016,337,3251,1479
53,2016,106,4727,2197
54,2016,525,4399,2602
55,2016,106,6587,6059
56,2016,336,2151,1645
57,2016,106,780,685
58,2016,527,1847,761
59,2016,206,3468,1807
60,2016,412,2208,932
61,2016,522,5196,2620
62,2016,547,3589,1808
63,2016,547,3660,2911
64,2016,557,5539,5466
65,2016,336,1921,1217
66,2016,206,2388,1869
67,2016,536,5171,2677
68,2016,525,5219,3622
69,2016,206,829,696
70,2016,327,2434,1081
71,2016,106,1616,1317
72,2016,327,1704,1269
73,2016,327,2131,1427
74,2016,206,2838,1360
75,2016,317,4859,3305
76,2016,106,2047,933
77,2016,317,4026,3518
78,2016,206,2536,2189
79,2016,106,951,420
80,2016,106,827,761
81,2016,327,3720,1701
82,2016,336,2909,1345
83,2016,320,3866,2471
84,2016,206,2250,924
85,2016,106,1820,1164
86,2016,106,2343,1450
87,2016,106,3528,2586
88,2016,535,2905,1743
89,2016,336,2272,1631
90,2016,206,2405,1335
91,2016,336,1094,722
92,2016,106,2697,1333
93,2016,106,1590,699
94,2016,317,1495,1033
95,2016,320,1100,453
96,2016,106,1520,724
97,2016,317,6725,4488
98,2016,320,3758,2498
99,2016,206,1795,1136
100,2016,413,1598,1246
101,2016,206,3412,2974
102,2016,640,1389,882
103,2016,106,2242,1591
104,2016,520,1727,1044
105,2016,640,2632,1118
106,2016,206,2211,1323
107,2016,337,1973,1238
108,2016,106,1704,1322
109,2016,206,3236,2547
110,2016,336,3321,2018
111,2016,336,3042,3032
112,2016,106,3947,3545
113,2016,317,1151,515
114,2016,327,1339,1057
115,2016,106,3041,2957
116,2016,326,7481,4204
117,2016,337,2969,2544
118,2016,106,1081,796
119,2016,327,4653,3203
120,2016,520,1184,1022
121,2016,106,8287,5617
122,2016,326,2230,1504
123,2016,412,3048,2919
124,2016,106,2466,1491
125,2016,536,2791,2459
126,2016,640,818,743
127,2016,525,3339,2997
128,2016,537,1784,813
129,2016,206,1137,932
130,2016,206,4114,3100
131,2016,106,3492,3297
132,2016,106,1143,516
133,2016,106,2520,2018
134,2016,206,2261,1039
135,2016,327,3976,2695
136,2016,327,3811,2386
137,2016,327,1708,1577
138,2016,106,1998,1893
139,2016,204,1766,1103
140,2016,327,2015,1067
141,2016,206,1674,1162
142,2016,206,4646,3077
143,2016,206,1322,1067
144,2016,410,2418,1305
145,2016,204,2953,2145
146,2016,317,2076,968
147,2016,327,3266,3202
148,2016,106,1481,1207
149,2016,204,1018,491
150,2016,106,2361,1832
151,2016,320,1324,705
152,2016,547,2695,2549
153,2016,317,2372,2230
154,2016,100,1616,681
155,2016,106,2049,1473
156,2016,204,2264,1522
157,2016,337,3858,3671
158,2016,327,3887,3348
159,2016,206,3132,1705
160,2016,326,2094,1963
161,2016,106,1612,683
162,2016,106,3892,3766
163,2016,204,1625,1163
164,2016,206,5531,4218
165,2016,106,2706,1082
166,2016,206,1171,820
167,2016,320,7984,7472
168,2016,320,1330,1068
169,2016,106,2399,1314
170,2016,106,1305,1252
171,2016,327,1393,811
172,2016,106,2312,2118
173,2016,200,848,714
174,2016,206,1476,773
175,2016,327,2203,2076
176,2016,106,375,320
177,2016,204,1065,936
178,2016,537,4085,3619
179,2016,337,9692,4587
180,2016,106,2347,1919
181,2016,330,4206,2863
182,2016,327,2554,1334
183,2016,320,2557,1374
184,2016,537,4152,2427
185,2016,106,2394,1240
186,2016,106,1771,1465
187,2016,100,2728,2376
188,2016,206,3128,2717
189,2016,106,3464,3292
190,2016,320,1916,970
191,2016,536,1415,617
192,2016,536,5276,4305
193,2016,327,1475,1224
194,2016,106,1248,953
195,2016,327,1567,797
196,2016,106,1966,1759
197,2016,206,11027,7232
198,2016,413,1404,778
199,2016,336,7093,4369
200,2016,106,5560,2258
201,2016,106,3209,3055
202,2016,327,2382,1605
203,2016,317,1350,1313
204,2016,317,1108,614
205,2016,106,1935,1403
206,2016,537,1190,883
207,2016,320,1054,1046
208,2016,106,1492,699
209,2016,310,2086,1637
210,2016,537,2252,2071
211,2016,106,3944,2984
212,2016,326,5187,2233
213,2016,336,5370,2689
