"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2021,557,2217,1190
2,2021,336,2994,2684
3,2021,106,2702,2133
4,2021,620,3057,2754
5,2021,537,3302,2060
6,2021,106,1789,1248
7,2021,336,2882,2460
8,2021,106,4666,3776
9,2021,327,2947,1320
10,2021,336,3711,3633
11,2021,327,4737,3872
12,2021,320,3265,1945
13,2021,106,3376,1576
14,2021,526,1918,1785
15,2021,313,2101,857
16,2021,537,2452,1474
17,2021,106,4884,4433
18,2021,326,2572,1717
19,2021,106,2088,1421
20,2021,106,1719,983
21,2021,100,418,405
22,2021,337,6617,5043
23,2021,320,6732,2782
24,2021,327,4278,3198
25,2021,326,1232,953
26,2021,326,12335,10006
27,2021,320,2543,1217
28,2021,336,4412,3668
29,2021,204,2814,2804
30,2021,323,3212,1940
31,2021,106,1706,1549
32,2021,106,2021,1867
33,2021,320,3793,3393
34,2021,336,1635,803
35,2021,320,1703,1389
36,2021,546,4258,3467
37,2021,326,955,475
38,2021,527,2578,1557
39,2021,106,947,399
40,2021,206,1781,1046
41,2021,106,1370,752
42,2021,326,1195,723
43,2021,547,1375,545
44,2021,206,1674,662
45,2021,600,6212,5852
46,2021,327,3496,1706
47,2021,336,3844,2323
48,2021,106,3236,2026
49,2021,106,2803,1562
50,2021,106,785,492
51,2021,547,3094,2773
52,2021,520,3410,1551
53,2021,106,5040,2342
54,2021,525,4843,2864
55,2021,106,6834,6286
56,2021,336,2168,1658
57,2021,106,825,730
58,2021,527,1935,797
59,2021,206,3816,1988
60,2021,412,2364,998
61,2021,522,5391,2718
62,2021,547,3778,1903
63,2021,547,3934,3129
64,2021,600,6027,5948
65,2021,336,2058,1304
66,2021,206,2482,1942
67,2021,536,5638,2918
68,2021,525,5756,3994
69,2021,206,895,752
70,2021,327,2379,1056
71,2021,106,1690,1377
72,2021,526,1841,1372
73,2021,327,2175,1456
74,2021,206,3075,1473
75,2021,323,4996,3398
76,2021,106,2148,979
77,2021,317,4175,3648
78,2021,206,2664,2300
79,2021,106,1010,446
80,2021,545,886,815
81,2021,327,3986,1823
82,2021,546,3052,1411
83,2021,320,4069,2601
84,2021,206,2368,972
85,2021,106,1908,1220
86,2021,200,2434,1507
87,2021,106,3552,2603
88,2021,535,3029,1817
89,2021,336,2320,1666
90,2021,206,2624,1456
91,2021,336,1151,760
92,2021,106,2861,1415
93,2021,106,1715,754
94,2021,317,1533,1059
95,2021,320,1155,476
96,2021,106,1530,728
97,2021,317,7214,4814
98,2021,320,3874,2575
99,2021,206,1817,1150
100,2021,413,1658,1292
101,2021,206,3674,3203
102,2021,640,1466,931
103,2021,336,2263,1606
104,2021,520,1834,1108
105,2021,640,2699,1147
106,2021,206,2453,1467
107,2021,337,2104,1320
108,2021,106,1797,1394
109,2021,206,3181,2504
110,2021,336,3396,2064
111,2021,336,3135,3125
112,2021,106,4132,3711
113,2021,317,1219,546
114,2021,327,1431,1129
115,2021,106,3199,3110
116,2021,326,7562,4249
117,2021,337,3227,2765
118,2021,106,1105,814
119,2021,327,4992,3436
120,2021,520,1284,1109
121,2021,106,8636,5853
122,2021,326,2400,1619
123,2021,412,3109,2977
124,2021,106,2568,1553
125,2021,536,2940,2590
126,2021,640,843,766
127,2021,525,3464,3109
128,2021,537,1844,841
129,2021,206,1181,969
130,2021,206,4272,3219
131,2021,106,3651,3447
132,2021,106,1209,546
133,2021,106,2591,2074
134,2021,206,2490,1144
135,2021,327,4168,2825
136,2021,327,3913,2450
137,2021,327,1835,1695
138,2021,415,2040,1933
139,2021,204,1825,1140
140,2021,327,2219,1175
141,2021,206,1739,1207
142,2021,206,4636,3071
143,2021,206,1411,1139
144,2021,410,2440,1317
145,2021,204,3155,2291
146,2021,317,2196,1024
147,2021,327,3502,3434
148,2021,106,1556,1268
149,2021,204,1036,499
150,2021,106,2521,1956
151,2021,320,1392,741
152,2021,547,2833,2680
153,2021,317,2624,2467
154,2021,100,1751,738
155,2021,106,2243,1612
156,2021,204,2374,1596
157,2021,337,4118,3918
158,2021,327,4074,3509
159,2021,206,3230,1759
160,2021,326,2193,2055
161,2021,106,1651,699
162,2021,106,4043,3912
163,2021,204,1624,1163
164,2021,206,6001,4577
165,2021,106,2873,1149
166,2021,206,1251,876
167,2021,320,8565,8016
168,2021,320,1359,1092
169,2021,106,2431,1331
170,2021,106,1386,1330
171,2021,327,1501,874
172,2021,106,2485,2276
173,2021,200,909,765
174,2021,206,1560,818
175,2021,327,2276,2144
176,2021,106,387,330
177,2021,204,1145,1007
178,2021,537,4335,3841
179,2021,337,9973,4720
180,2021,106,2298,1879
181,2021,330,4250,2893
182,2021,327,2678,1399
183,2021,320,2695,1448
184,2021,537,4485,2622
185,2021,106,2410,1249
186,2021,106,1929,1596
187,2021,100,3019,2629
188,2021,206,3272,2842
189,2021,106,3760,3573
190,2021,530,1907,966
191,2021,536,1444,630
192,2021,536,5495,4484
193,2021,327,1547,1283
194,2021,106,1270,970
195,2021,327,1638,833
196,2021,106,2115,1893
197,2021,206,11072,7262
198,2021,413,1530,848
199,2021,336,7659,4718
200,2021,106,5896,2394
201,2021,106,3340,3180
202,2021,327,2562,1726
203,2021,317,1390,1351
204,2021,317,1131,627
205,2021,106,2049,1486
206,2021,537,1214,901
207,2021,320,1094,1086
208,2021,106,1583,742
209,2021,310,2133,1674
210,2021,620,2389,2197
211,2021,106,4040,3057
212,2021,326,5425,2335
213,2021,336,5953,2981
214,2021,106,1905,1793
215,2021,200,1040,630
216,2021,320,1398,1054
217,2021,106,1879,1514
218,2021,327,3078,2683
219,2021,106,3370,1780
220,2021,106,1970,1310
221,2021,327,1006,606
222,2021,620,738,686
223,2021,106,5387,2684
224,2021,204,2181,1908
225,2021,106,2392,1236
226,2021,620,1878,1047
227,2021,106,1725,1372
228,2021,106,2067,1543
229,2021,206,2547,1248
230,2021,532,3726,3306
231,2021,106,1160,1015
232,2021,320,2987,1981
233,2021,204,1493,959
234,2021,600,3281,1638
235,2021,525,7209,5593
236,2021,106,1563,1241
237,2021,547,755,531
238,2021,536,1906,1631
239,2021,337,1106,1079
240,2021,206,4779,3588
241,2021,327,942,790
242,2021,106,687,491
243,2021,320,1414,1331
244,2021,313,2618,1451
245,2021,106,693,496
246,2021,327,1379,855
247,2021,106,2328,1896
248,2021,206,3935,1968
249,2021,413,2031,1460
250,2021,106,2668,1590
251,2021,336,1126,815
252,2021,106,1674,944
253,2021,336,2189,1672
254,2021,527,3075,2586
255,2021,336,5322,2683
256,2021,336,1838,839
257,2021,536,2595,2241
258,2021,106,1019,940
259,2021,336,3268,1964
260,2021,327,2262,2088
261,2021,327,2851,2360
262,2021,106,1969,834
263,2021,206,3301,1500
264,2021,317,4964,2030
265,2021,336,4350,1957
266,2021,106,2297,927
267,2021,327,2529,1603
268,2021,206,4625,4424
269,2021,106,2714,2419
270,2021,547,5231,2083
271,2021,547,2034,1736
272,2021,547,6582,6021
273,2021,316,3719,2977
274,2021,336,6351,6051
275,2021,106,1663,1475
276,2021,337,3719,2270
277,2021,106,896,886
278,2021,547,3256,3043
279,2021,536,1774,1593
280,2021,106,1250,1195
281,2021,326,3699,2169
282,2021,317,5641,4121
283,2021,520,6890,3874
284,2021,336,4151,2425
285,2021,206,1399,799
286,2021,327,1239,632
287,2021,326,2024,1638
288,2021,106,1436,616
289,2021,317,3537,1593
290,2021,327,6738,4414
291,2021,327,2439,2135
292,2021,317,2145,1365
293,2021,556,12292,6218
294,2021,412,2410,2314
295,2021,320,1299,1175
296,2021,206,2688,2192
297,2021,106,554,272
298,2021,327,3440,2897
299,2021,204,2030,1120
300,2021,327,1044,763
301,2021,204,1894,1207
302,2021,106,588,272
303,2021,520,4378,2787
304,2021,413,1359,1145
305,2021,320,2569,1998
306,2021,204,1923,1851
307,2021,527,2491,1348
308,2021,317,4181,3093
309,2021,326,2009,876
310,2021,106,1082,707
311,2021,206,865,396
312,2021,106,1389,623
313,2021,206,2511,1848
314,2021,106,3805,3461
315,2021,333,4669,4218
316,2021,525,2739,1108
317,2021,520,6062,5701
318,2021,106,1870,922
319,2021,327,2227,1440
320,2021,526,3036,1788
321,2021,320,4034,3482
322,2021,200,1324,1041
323,2021,320,4285,1732
324,2021,106,2652,2603
325,2021,106,1656,1340
326,2021,337,787,373
327,2021,327,1896,1712
328,2021,320,1438,1326
329,2021,106,853,609
330,2021,520,2423,1095
331,2021,536,5286,2278
332,2021,106,2727,2229
333,2021,520,4742,4309
334,2021,106,2115,1191
335,2021,532,2500,1153
336,2021,206,3206,1738
337,2021,106,743,684
338,2021,412,4310,2412
339,2021,206,2617,2284
340,2021,336,1647,794
341,2021,327,2121,852
342,2021,106,1462,1341
343,2021,327,3005,2141
344,2021,547,5281,3221
345,2021,415,1518,723
346,2021,204,2613,1367
347,2021,336,4026,2630
348,2021,206,3368,1521
349,2021,320,3014,2682
350,2021,600,7666,6073
351,2021,206,3231,2578
352,2021,327,8912,6242
353,2021,106,2390,1196
354,2021,333,5694,3024
355,2021,337,1134,752
356,2021,206,13350,7214
357,2021,106,2637,2326
358,2021,412,5430,4143
359,2021,336,1484,1244
360,2021,327,3906,3544
361,2021,106,1317,1057
362,2021,106,1333,1109
363,2021,532,5179,3764
364,2021,557,3099,2199
365,2021,537,12617,10971
366,2021,106,1569,1111
367,2021,527,10880,9963
368,2021,106,976,676
369,2021,415,2812,2379
370,2021,336,1274,700
371,2021,337,2031,1658
372,2021,327,566,452
373,2021,106,617,596
374,2021,412,3167,1789
375,2021,206,2208,1552
