"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2024,557,2337,1254
2,2024,336,3056,2740
3,2024,106,2811,2219
4,2024,620,3194,2877
5,2024,537,3388,2113
6,2024,106,1808,1261
7,2024,336,3021,2579
8,2024,106,4790,3877
9,2024,536,3029,1357
10,2024,336,3821,3740
11,2024,327,5083,4155
12,2024,412,3339,1989
13,2024,106,3343,1561
14,2024,526,1992,1854
15,2024,313,2184,891
16,2024,537,2486,1495
17,2024,106,5188,4709
18,2024,326,2546,1700
19,2024,106,2183,1485
20,2024,106,1724,986
21,2024,100,415,402
22,2024,337,6653,5070
23,2024,320,7006,2895
24,2024,327,4605,3443
25,2024,326,1264,977
26,2024,326,13040,10578
27,2024,320,2598,1243
28,2024,336,4726,3929
29,2024,204,2857,2846
30,2024,323,3467,2094
31,2024,106,1728,1569
32,2024,106,2100,1940
33,2024,320,3866,3459
34,2024,640,1724,847
35,2024,320,1751,1428
36,2024,620,4294,3496
37,2024,326,1002,499
38,2024,527,2674,1615
39,2024,106,1018,429
40,2024,206,1766,1037
41,2024,106,1445,793
42,2024,326,1200,726
43,2024,547,1472,583
44,2024,206,1655,654
45,2024,600,6315,5949
46,2024,327,3659,1786
47,2024,336,3952,2388
48,2024,106,3374,2113
49,2024,106,2844,1585
50,2024,106,790,495
51,2024,547,3188,2857
52,2024,520,3461,1575
53,2024,106,5370,2496
54,2024,525,4965,2936
55,2024,106,6906,6352
56,2024,336,2200,1683
57,2024,106,843,748
58,2024,527,1941,800
59,2024,206,3998,2083
60,2024,412,2427,1025
61,2024,527,5511,2779
62,2024,547,3941,1985
63,2024,547,4136,3289
64,2024,600,6131,6050
65,2024,336,2097,1329
66,2024,206,2492,1950
67,2024,536,5728,2965
68,2024,525,6114,4243
69,2024,206,908,762
70,2024,327,2386,1060
71,2024,106,1805,1471
72,2024,526,1881,1401
73,2024,327,2148,1438
74,2024,206,3201,1533
75,2024,323,5132,3490
76,2024,106,2226,1014
77,2024,317,4213,3681
78,2024,206,2746,2370
79,2024,106,1008,445
80,2024,545,927,853
81,2024,327,3973,1817
82,2024,546,3090,1429
83,2024,320,4080,2608
84,2024,206,2464,1012
85,2024,106,1985,1269
86,2024,200,2440,1510
87,2024,106,3600,2638
88,2024,535,3096,1857
89,2024,522,2389,1715
90,2024,320,2726,1513
91,2024,547,1221,806
92,2024,106,2919,1443
93,2024,106,1703,748
94,2024,317,1543,1066
95,2024,320,1180,486
96,2024,106,1580,752
