"LopNr","Year","Sun2000niva","DispInkFam04","DispInk04"
1,2015,327,2096,1125
2,2015,336,2946,2641
3,2015,106,2629,2075
4,2015,536,2906,2618
5,2015,537,3219,2008
6,2015,106,1669,1164
7,2015,336,2656,2267
8,2015,106,4316,3493
9,2015,327,2838,1271
10,2015,336,3457,3384
11,2015,327,4520,3695
12,2015,320,3215,1915
13,2015,106,3230,1508
14,2015,526,1838,1711
15,2015,106,1958,799
16,2015,537,2280,1371
17,2015,106,4575,4153
18,2015,326,2545,1699
19,2015,106,1977,1345
20,2015,106,1656,947
21,2015,100,414,401
22,2015,337,6222,4742
23,2015,320,6399,2644
24,2015,327,4025,3009
25,2015,326,1160,897
26,2015,326,12284,9965
27,2015,320,2384,1141
28,2015,336,4122,3427
29,2015,204,2689,2679
30,2015,206,3075,1857
31,2015,106,1564,1420
32,2015,106,1937,1789
33,2015,320,3598,3219
34,2015,336,1504,739
35,2015,320,1643,1340
36,2015,525,3860,3143
37,2015,326,912,454
38,2015,527,2406,1453
39,2015,106,908,383
40,2015,206,1650,969
41,2015,106,1273,699
42,2015,326,1113,673
43,2015,547,1297,514
44,2015,206,1571,621
45,2015,327,6126,5771
46,2015,327,3211,1567
47,2015,336,3710,2242
48,2015,106,3173,1987
49,2015,106,2676,1491
50,2015,106,724,454
51,2015,547,2879,2580
52,2015,337,3196,1454
53,2015,106,4740,2203
54,2015,525,4332,2562
55,2015,106,6559,6033
56,2015,336,2147,1642
57,2015,106,779,684
58,2015,527,1796,740
59,2015,206,3380,1761
60,2015,204,2153,909
61,2015,522,5119,2581
62,2015,527,3577,1802
63,2015,547,3683,2929
64,2015,557,5393,5322
65,2015,336,1900,1204
66,2015,206,2327,1821
67,2015,536,5048,2613
68,2015,525,5241,3637
69,2015,206,811,681
70,2015,327,2369,1052
71,2015,106,1616,1317
72,2015,327,1698,1265
73,2015,327,2122,1421
74,2015,206,2770,1327
75,2015,317,4774,3247
76,2015,106,2059,938
77,2015,317,3999,3494
78,2015,206,2486,2146
79,2015,106,943,416
80,2015,106,810,745
81,2015,327,3667,1677
82,2015,336,2878,1331
83,2015,320,3895,2490
84,2015,206,2192,900
85,2015,106,1833,1172
86,2015,106,2344,1451
87,2015,106,3549,2601
88,2015,535,2884,1730
89,2015,336,2248,1614
90,2015,206,2364,1312
91,2015,336,1101,727
92,2015,106,2686,1328
93,2015,106,1554,683
94,2015,317,1502,1038
95,2015,320,1078,444
96,2015,106,1521,724
97,2015,317,6691,4465
98,2015,320,3784,2515
99,2015,206,1787,1131
100,2015,413,1555,1212
101,2015,206,3344,2915
102,2015,640,1402,890
103,2015,106,2191,1555
104,2015,520,1703,1029
105,2015,640,2624,1115
106,2015,206,2215,1325
107,2015,337,1973,1238
108,2015,106,1667,1293
109,2015,206,3149,2479
110,2015,336,3258,1980
111,2015,336,3025,3015
112,2015,106,3953,3550
113,2015,317,1148,514
114,2015,327,1324,1045
115,2015,106,3061,2976
116,2015,326,7364,4138
117,2015,337,2977,2551
118,2015,106,1081,796
119,2015,327,4655,3204
120,2015,520,1164,1005
121,2015,106,8115,5500
122,2015,326,2234,1507
123,2015,412,3013,2885
124,2015,106,2446,1479
125,2015,536,2808,2474
126,2015,640,820,745
127,2015,525,3243,2911
128,2015,537,1757,801
129,2015,206,1106,907
130,2015,206,4119,3104
131,2015,106,3401,3211
132,2015,106,1112,502
133,2015,106,2478,1984
134,2015,206,2200,1011
135,2015,327,3865,2620
136,2015,327,3811,2386
137,2015,327,1711,1580
138,2015,106,1944,1842
139,2015,204,1752,1094
140,2015,327,2006,1062
141,2015,206,1629,1131
